Transition_Name,Lipid_Name,For_Rgoslin,Precursor_Ion,Product_Ion,Retention_Time_[min],Delta_Retention_Time_[min],Collision_Energy,Cell_Accelerator_Voltage,Polarity,isISTD
PS 36:1,PS 36:1,PS 36:1,790.6,605.6,7.3,1,23,5,Positive,FALSE
PS 36:2,PS 36:2,PS 36:2,788.5,603.5,6.5,1,23,5,Positive,FALSE
PS 38:3,PS 38:3,PS 38:3,814.6,629.6,6.9,1,23,5,Positive,FALSE
PS 38:4,PS 38:4,PS 38:4,812.5,627.5,6.5,1,23,5,Positive,FALSE
PS 38:5,PS 38:5,PS 38:5,810.5,625.5,5.8,1,23,5,Positive,FALSE
PS 40:5,PS 40:5,PS 40:5,838.6,653.6,6.7,1,23,5,Positive,FALSE
PS 40:6,PS 40:6,PS 40:6,836.5,651.5,6.4,1,23,5,Positive,FALSE
S1P(d16:1),SPBP 16:1;O2,SPBP 16:1;O2,352.2,236.3,1.8,2,12,4,Positive,FALSE
S1P(d17:0) (ISTD),SPBP 17:0;O2 (ISTD),SPBP 17:0;O2,368.2,252.3,2.4,2,12,4,Positive,TRUE
S1P(d17:1) (ISTD),SPBP 17:1;O2 (ISTD),SPBP 17:1;O2,366.2,250.3,2.2,2,12,4,Positive,TRUE
S1P(d18:0),SPBP 18:0;O2,SPBP 18:0;O2,382.2,284.3,2.5,2,12,4,Positive,FALSE
S1P(d18:1),SPBP 18:1;O2,SPBP 18:1;O2,380.2,264.3,2.3,2,12,4,Positive,FALSE
S1P(d18:1) 13C2D2 [ISTD],"[13C2,D2]SPBP 18:1;O2 (ISTD)",SPBP 18:1;O2,384.3,268.3,2.3,2,12,4,Positive,TRUE
S1P(d18:2),SPBP 18:2;O2,SPBP 18:2;O2,378.2,262.3,1.9,2,12,4,Positive,FALSE
SM 30:1 (ISTD),SM 30:1;O2 (ISTD),SM 30:1;O2,647.5,184.1,4.5,1,29,5,Positive,TRUE
SM 31:1,SM 31:1;O2,SM 31:1;O2,661.5,184.1,4.8,1,29,5,Positive,FALSE
SM 32:0,SM 32:0;O2,SM 32:0;O2,677.6,184.1,5.5,1,29,5,Positive,FALSE
SM 32:1,SM 32:1;O2,SM 32:1;O2,675.5,184.1,5.3,1,29,5,Positive,FALSE
SM 32:2,SM 32:2;O2,SM 32:2;O2,673.5,184.1,4.7,1,29,5,Positive,FALSE
SM 33:0 **,SM 33:0;O2,SM 33:0;O2,691.6,184.1,6,2,29,5,Positive,FALSE
SM 33:1,SM 33:1;O2,SM 33:1;O2,689.6,184.1,5.7,1,29,5,Positive,FALSE
SM 33:2 **,SM 33:2;O2,SM 33:2;O2,687.6,184.1,5,2,29,5,Positive,FALSE
SM 34:0,SM 34:0;O2,SM 34:0;O2,705.6,184.1,6.4,1,29,5,Positive,FALSE
SM 34:1,SM 34:1;O2,SM 34:1;O2,703.6,184.1,6.1,1,29,5,Positive,FALSE
SM 34:2,SM 34:2;O2,SM 34:2;O2,701.6,184.1,5.4,1,29,5,Positive,FALSE
SM 34:3,SM 34:3;O2,SM 34:3;O2,699.5,184.1,4.9,1,29,5,Positive,FALSE
SM 35:0 **,SM 35:0;O2,SM 35:0;O2,719.6,184.1,6.9,3,29,5,Positive,FALSE
SM 35:1 (a\b),SM 35:1;O2,SM 35:1;O2,717.6,184.1,6.5,1,29,5,Positive,FALSE
SM 35:2 (a\b),SM 35:2;O2,SM 35:2;O2,715.6,184.1,5.8,1,29,5,Positive,FALSE
SM 36:0 **,SM 36:0;O2,SM 36:0;O2,733.6,184.1,7.5,3,29,5,Positive,FALSE
SM 36:1,SM 36:1;O2,SM 36:1;O2,731.6,184.1,7.1,1,29,5,Positive,FALSE
SM 36:2,SM 36:2;O2,SM 36:2;O2,729.6,184.1,6.3,1,29,5,Positive,FALSE
SM 36:3,SM 36:3;O2,SM 36:3;O2,727.6,184.1,5.6,1,29,5,Positive,FALSE
SM 37:0 **,SM 37:0;O2,SM 37:0;O2,747.6,184.1,8,3,29,5,Positive,FALSE
